name,train_acc,train_f1,test_acc,test_f1
off_acco,0.54292343387471,0.690251572327044,0.52,0.6722090261282659
off_cul,0.5440835266821346,0.5647840531561461,0.4956521739130435,0.5292207792207791
off_food,0.4953596287703016,0.5829338446788112,0.5321739130434783,0.6248256624825662
off_lei,0.5023201856148491,0.572283150548355,0.49043478260869566,0.5296950240770466
off_medi,0.5174013921113689,0.5536480686695279,0.4956521739130435,0.5101351351351351
off_sani,0.5359628770301624,0.5901639344262295,0.4956521739130435,0.5579268292682927
on_acco,0.5266821345707656,0.6099426386233269,0.5252173913043479,0.614950634696756
on_cul,0.5580046403712297,0.6992896606156275,0.5304347826086957,0.6793349168646081
on_food,0.46867749419953597,0.3973684210526316,0.4817391304347826,0.41796875
on_lei,0.5406032482598608,0.6489361702127661,0.5530434782608695,0.6550335570469799
on_sani,0.5220417633410673,0.4771573604060914,0.5182608695652174,0.4404040404040404
